metric_name,ahr999,aviv_nupl,aviv_ratio,cvdd_ratio,dvrsi,fear_greed_cmc,fear_greed_og,lth_sth_sopr_ratio,mvrv_z,pi_cycle_top,risk_metrics,sharpe_ratio_52w,terminal_price_ratio,two_year_ma,unrealized_sell_risk,vpli,williams_r
ahr999,1.0,0.6830333580703016,0.5230573227840891,0.8046965289563245,0.19785688708011331,0.7156745071149208,0.5585606060352031,0.7296846560624728,0.7519728539910883,0.6331605550543167,0.7471117975025127,0.6719958696149283,-0.8751003088044015,0.8349028793055003,0.8376100031363378,0.8755529778725116,0.5536287438889915
aviv_nupl,0.6830333580703016,1.0,0.9407574550458445,0.725117278021269,0.40984460499403286,0.6620719277103004,0.7229016569018636,0.6629301971813603,0.9547716276686914,0.6444094468426829,0.8708469432810435,0.6788540732563149,-0.8730556580677163,0.8189442065571991,0.8075319149877964,0.46082330810134065,0.8724733054875741
aviv_ratio,0.5230573227840891,0.9407574550458445,1.0,0.6283768288532794,0.4145599927832156,0.6899659311902849,0.7482180794854398,0.6520695106103194,0.8651648503234761,0.5735490125547311,0.7814126378700267,0.6713650700952113,-0.726600032880065,0.653156921527661,0.691426059176468,0.3058270772544235,0.8985963299552939
cvdd_ratio,0.8046965289563245,0.725117278021269,0.6283768288532794,1.0,0.23369281684613508,0.6317832754327147,0.5212787653296087,0.7218296038271058,0.839438038229628,0.7416612692786148,0.7902442785967055,0.8083740981501116,-0.9231517064300377,0.9695771058503615,0.8714383949248459,0.6712573716123749,0.5988300198001093
dvrsi,0.19785688708011331,0.40984460499403286,0.4145599927832156,0.23369281684613508,1.0,0.22064762946872685,0.24834769205245358,0.18926214195704014,0.3214059468346843,0.13176710599189226,0.36694926297644176,0.2420992989136852,-0.24862790770317433,0.27516227158887746,0.29814372371779096,0.026681117765651685,0.3698483793412735
fear_greed_cmc,0.7156745071149208,0.6620719277103004,0.6899659311902849,0.6317832754327147,0.22064762946872685,1.0,0.9293090995124289,0.5181166474643569,0.6007132189326707,0.5033507785317384,0.8866172211133574,0.7745714668337697,-0.6229996592319675,0.6740206239378351,0.6921975911129379,0.4299346438306862,0.7399712783118109
fear_greed_og,0.5585606060352031,0.7229016569018636,0.7482180794854398,0.5212787653296087,0.24834769205245358,0.9293090995124289,1.0,0.5542315008411058,0.6920584117152615,0.5023027580964634,0.8088758676356523,0.56696889537322,-0.5497769612607445,0.5699386441855099,0.6370236559509386,0.2737231247882219,0.7388516868554287
lth_sth_sopr_ratio,0.7296846560624728,0.6629301971813603,0.6520695106103194,0.7218296038271058,0.18926214195704014,0.5181166474643569,0.5542315008411058,1.0,0.7339575433128313,0.8562577866282233,0.8148724927465977,0.7936119893929682,-0.7484119657281718,0.8893781807936503,0.711885524134815,0.5742728065025907,0.6056781425864807
mvrv_z,0.7519728539910883,0.9547716276686914,0.8651648503234761,0.839438038229628,0.3214059468346843,0.6007132189326707,0.6920584117152615,0.7339575433128313,1.0,0.7174319552866498,0.886950530249017,0.7421335399773408,-0.9497233050469758,0.8872791695193192,0.8749761993468759,0.5173221990436045,0.8518375559334478
pi_cycle_top,0.6331605550543167,0.6444094468426829,0.5735490125547311,0.7416612692786148,0.13176710599189226,0.5033507785317384,0.5023027580964634,0.8562577866282233,0.7174319552866498,1.0,0.8275502993927912,0.787702938682945,-0.7463580559997611,0.8385075862645842,0.6619139234625921,0.48513529071113337,0.6090466146361293
risk_metrics,0.7471117975025127,0.8708469432810435,0.7814126378700267,0.7902442785967055,0.36694926297644176,0.8866172211133574,0.8088758676356523,0.8148724927465977,0.886950530249017,0.8275502993927912,1.0,0.8063200544987007,-0.850705471462805,0.8547312688945236,0.8033099794262806,0.48045372215505383,0.8093970264680778
sharpe_ratio_52w,0.6719958696149283,0.6788540732563149,0.6713650700952113,0.8083740981501116,0.2420992989136852,0.7745714668337697,0.56696889537322,0.7936119893929682,0.7421335399773408,0.787702938682945,0.8063200544987007,1.0,-0.7711323875981505,0.9114572566501072,0.7741520198368343,0.552950991061086,0.6657519801282414
terminal_price_ratio,-0.8751003088044015,-0.8730556580677163,-0.726600032880065,-0.9231517064300377,-0.24862790770317433,-0.6229996592319675,-0.5497769612607445,-0.7484119657281718,-0.9497233050469758,-0.7463580559997611,-0.850705471462805,-0.7711323875981505,1.0,-0.9516335337955637,-0.9174366228069067,-0.7192776816359716,-0.7461222291329905
two_year_ma,0.8349028793055003,0.8189442065571991,0.653156921527661,0.9695771058503615,0.27516227158887746,0.6740206239378351,0.5699386441855099,0.8893781807936503,0.8872791695193192,0.8385075862645842,0.8547312688945236,0.9114572566501072,-0.9516335337955637,1.0,0.8767821014724093,0.6799303848649815,0.6710304367736958
unrealized_sell_risk,0.8376100031363378,0.8075319149877964,0.691426059176468,0.8714383949248459,0.29814372371779096,0.6921975911129379,0.6370236559509386,0.711885524134815,0.8749761993468759,0.6619139234625921,0.8033099794262806,0.7741520198368343,-0.9174366228069067,0.8767821014724093,1.0,0.6979010858909217,0.6649320861977919
vpli,0.8755529778725116,0.46082330810134065,0.3058270772544235,0.6712573716123749,0.026681117765651685,0.4299346438306862,0.2737231247882219,0.5742728065025907,0.5173221990436045,0.48513529071113337,0.48045372215505383,0.552950991061086,-0.7192776816359716,0.6799303848649815,0.6979010858909217,1.0,0.3291526353337606
williams_r,0.5536287438889915,0.8724733054875741,0.8985963299552939,0.5988300198001093,0.3698483793412735,0.7399712783118109,0.7388516868554287,0.6056781425864807,0.8518375559334478,0.6090466146361293,0.8093970264680778,0.6657519801282414,-0.7461222291329905,0.6710304367736958,0.6649320861977919,0.3291526353337606,1.0
